Text,True Label,Predicted Label
to care for him who shall have borne the battle and for his widow and his orphan to do all which may achieve and cherish a just and lasting peace among ourselves and with all nations 2/2,1,0
byrontau i usually avoid <unk> about what s in bills congress is about to pass but this is awesome crs is a gem and their r…,1,0
<unk> thanks for all the suppo reppoliquin and for giving <unk> her first <unk> ovacinfo livestrong acscan …,1,0
congratulations again to carla <unk> for winning the 2018 congressional a competition for michigan s 10th district …,1,0
great to meet w/ my veterans advisory committee to discuss issues that affect our active military and veterans w/ special guest repdougcollins to conclude the meeting i had the honor to present gerald <unk> jr w/ medals his father earned during wwii that he never received,1,0
now that the majority memo from chairman nunes has been released i believe that the minority memo prepared by ranking member schiff should follow the same process we should give the american people more info rather than less…,1,0
a big congratulations to the g w long high school baseball team for winning another state championship title your team made dale county proud al02 …,1,0
<unk> a treasured friendship today with jan <unk> who radio our iowa version of rush <unk>,1,0
repjoecrowley congressmandan & i are leading bipaisan push for funding for state maritime academies incl maritimecollege,1,0
tomorrow find a paicipating disposal site for your unused & unwanted medications together we can fight the addiction crisis in our country it stas in your home find a collection site near you available for drop off between 10am-2pm …,1,0
politico while china and russia modernize their submarine fleet ours is degrading here s how to fix it via…,1,0
today i urged the va to rectify the injustice blue water navy veterans experience i will keep fighting for these heroes …,1,0
as a father i have great respect for speaker ryan s decision to make his family his priority & understand his desire to be an active pa of his children s lives as they grow up i wish him and his family all the best in the next chapter of,1,0
📸 picture perfect <unk>,1,0
hey china stifling voices like zhu yufu s does not silence their cries nor weaken their cause release him and all prisoners of conscience,1,0
congresswoman louiseslaughter was a leader in the house for decades and well-respected by members on both sides of the aisle i know i speak on behalf of all my colleagues in saying she will be sorely missed please join me in keeping her loved ones in your thoughts and prayers,1,0
president trump addressed the gop retreat in pennsylvania we will create a more prosperous & secure america,1,0
today legislation to reauthorize the fcc passed the house an impoant provision in this bill now makes it illegal for international <unk> to create fake caller id information,1,0
today is national vietnam war veterans day i encourage you to find one of the brave men or women who served our country in vietnam and tell them thank you for their heroism and sacrifice,1,0
the <unk> doesn t lie,1,0
i welcome any actions that will bring an end to california s sanctuary state policy that does nothing but protect dangerous felons who are in our country illegally read my full statement here,1,0
a large amount of the opioids entering our nation are smuggled through mexico we need to protect our communities & increase effos to combat drug traffickers and caels this includes <unk>,1,0
<unk> <unk> fair <unk> repdrewferguson will host his spring job fair march 29th in carrollton georgia check the link for <unk>,1,0
<unk> cmarymac realize 48th cd voters know dana <unk> & by a wide margin continue <unk> him despite lib/left <unk>,1,0
the eld mandate has been delayed another 90 days for <unk> truckers it s welcome news but i continue to believe a <unk> delay is necessary until more can be learned about the mandate s efficacy and potential impact,1,0
ohio is quickly becoming a leader in autonomous vehicle testing and the <unk> transpoation industry,1,0
if this <unk> working with one campaign to <unk> up a fake news repo as intelligence then taking it to a fisa cou for a warrant to spy on the other political <unk> s as wrong as it gets and it shouldn t happen in america …,1,0
albany and nygovcuomo need to get their fiscal house in order hardworking nyers deserve better,1,0
she said they expedite claims of vets who have a va disability rating of 100% permanent and total,1,0
kelly and i are enjoying all the fun at the <unk> st patrick s day parade in cleveland for an <unk> there is no place i d rather celebrate my bihday,1,0
<unk> <unk> ceo sheryl lewis blake with congressmandan thanks for a thoughtful meeting <unk>,1,0
today a bipaisan majority in the house passed hr3697 giving law enforcement more tools to keep our streets & families safe,1,0
visited <unk> students and <unk> to discuss their solar project at candor <unk> that will save 100% of the school district s annual energy consumption solar is now cc seia,1,0
kelmej this has led repwalterjones to ask mickmulvaneyomb for an <unk> eon the implementation of 2017 bans and asked <unk>,1,0
kudos to capt robe hughes of <unk> on graduating from armywarcollege & earning <unk> award,1,0
unfilteredse when we return secupp and reptomreed on what conor lamb s apparent win means for the gop tune in to hlntv now,1,0
international unfair competition through the sale of counterfeit and <unk> products has been dramatically increased by the combination of unrestricted online retailers and an open unregulated border… - chiaviello counsel nubyusa,1,0
there s no question that nafta needs to be updated to account for policy changes evolving industries and emerging technologies but we can t forget what s at stake here …,1,0
foxandfriends jim_jordan we all want transparency on the republican side – i m all for the democratic memo coming out,1,0
from the bottom of my hea thank you for your service 🇺🇸,1,0
true you might not have gotten much but you still have this long piece of paper,1,0
unfounately this bba also includes an exception for <unk> war aka military conflicts as they are approved by congress so the trillions spent in afghanistan and iraq would have still been deficit spending,1,0
my best wishes to ambassador john bolton as he returns to public service as realdonaldtrump s national security adviser,1,0
sdutideas rep_hunter qualcomm s acquisition by broadcom at any price would damage american security htt…,1,0
i m so proud to work alongside adl_national - from working to achieve lgbtq equality advocating for immigration reform combating anti-semitism and suppoing the democratic jewish state of israel honored to receive the democratic leadership award,1,0
thank you schwarzenegger wishing you a speedy recovery,1,0
nlintheusa happy dutch american friendship day today marks the sta of diplomatic relations between our two countries in <unk> when j…,1,0
as a former high school teacher i m excited to join rodneydavis and repkinzinger in this announcement by offering these grants usda is making an impoant contribution to closing the digital divide and expanding educational oppounities in rural communities …,1,0
bashar al-assad is a murderous oppressor who has kept power through barbaric acts and the poisoning of women and children empowered by <unk> words from the west and the <unk> of evil regimes in iran and russia,1,0
thank you to all of my democrat colleagues who have texted called or emailed to check on us your concern and prayers mean a lot and really show the hea of congress,1,0
celebrating with my granddaughter rana who graduated from watauga high school today,1,0
great news dredging the jaxpo shipping channel began over the weekend our office worked for six years to see this day happen i look forward to the completion of this project that will position ne fl as a global leader in logistics,1,0
very pleased that houstontx has been awarded the tiger grant for their innovative and forward-thinking proposal to…,1,0
chairman bishop joined <unk> to discuss the ongoing crisis in pueo rico watch the entire documentary blackout in pueo rico on may 1st …,1,0
i m humbled by this honor and i look forward to speaking on tuesday about equality dream act combatting anti- <unk> suppo for our major strategic paner israel adl_national …,1,0
last week i spoke with students at three of our <unk> i discussed the impoance of education & civic engagement,1,0
there is currently a brush fire in <unk> county and evacuations are underway follow <unk> to stay updated on this ongoing situation …,1,0
house administration to review oppounities for creating a national women s history museum,1,0
yesterday i had the chance to give an update to <unk> on the dodd-frank repeal bill at the minnesota credit union network annual conference our small banks and credit unions need relief to help families & local economies thrive <unk>,1,0
the mistreatment of conservatives and <unk> by tech monopolies is a civil rights issue googlememo,1,0
otdih congress created the usarmy – now the world s most powerful land force we owe much to our soldiers past and present,1,0
thank you to all the brave first responders and volunteers saving lives in houston your heroism in the face of disaster is inspiring …,1,0
great to meet with representatives of the national association of letter carriers who were in town to speak about postal legislation and <unk> issues nalc_national,1,0
<unk> thanks to replahood and the <unk> government affairs committee for putting on <unk> & politics last night <unk>,1,0
from the moment i kicked off my manufacturing tour i got to see firsthand the hard work these men and women put in every day to produce high-quality services and equipment …,1,0
as i have said before vladimir putin is a dangerous thug we must continue to stand with our friends in the face of russian aggression 2,1,0
the congressional a contest is happening now i encourage high school students from across pa12 to submit their awork for a chance to showcase it in the capitol,1,0
h r 529 will allow computers to be included as a covered education expense,1,0
<unk> 👍 i stole it from a friend who coins such terms he s an <unk> professor,1,0
<unk> an island paradise pueo rico is now more than 70 billion in debt the question now is what to do,1,0
us carbon emissions today remain lower than the level that would have been mandated by the <unk> markey legislation that passed this house in 2009 – nordhaus of thebti,1,0
icymi read my op-ed in the detroit news about my bill the protecting our children s future act,1,0
just wrapped up a fantastic event w/ mgmchamber & lockheedmain celebrating the news that the f35 will soon come to the 187th fighter wing at <unk> field i speak on behalf of the entire river region when i say we couldn t be more thrilled for the men & women,1,0
enjoyed seeing our first responders and so many families at the riverdale street fair,1,0
we should do all we can to accelerate innovation that could mean more effective treatments discovery of cures & m…,1,0
florida power & light <unk>,1,0
newson6 gun violence stas with desensitized kids mullin says,1,0
my wife renee and i send our heafelt condolences and prayers to the family of jimmy <unk> mr christmas was an incredible public servant who touched thousands of people we join our entire community in mourning this significant loss …,1,0
informative fema briefing this morning on relief effos in pueo rico and us virgin islands,1,0
2/2 veterans i d love to hear your story & preserve it for future generations to rsvp visit my website,1,0
increasing fuel costs place significant burdens on low and middle income families yet sacramento imposed additional gasoline taxes on its residents when it enacted <unk> now southern california is seeing the highest fuel prices in our region since 2015,1,0
my goal is to stay accountable and accessible to ga10 and that s why i regularly hold telephone town hall meetings while i am in washington for legislative business sign-up here to paicipate in thursday s <unk> …,1,0
impressive upset by <unk> last night <unk>,1,0
thank you <unk>,1,0
well said tuckercarlson,1,0
ny has some of the highest <unk> on cell phone bills for 911 services meant to improve the way callers are <unk> by 911 hardworking nyers pay for these services looks like nygovcuomo has been diveing this money to his slush fund for years,1,0
when we talk and listen to one another we can find overlap and work together to get things done i ve enjoyed working across the aisle to bring the government into the 21st century with my it subcommittee ranking member reprobinkelly bipaisanship …,1,0
great read from <unk> on what noh koreans face every day while some in media <unk> over kim yo jong in olympics coverage …,1,0
help celebrate national small business week by visiting local shops in your community 98 9% of florida s businesses are small businesses employing 3 2 million people nsbw,1,0
more than sixteen years after 9/11 a new deptofdefense repo shows we re at war in seven different countries it is long past time for congress to review and update the legal framework through which we conduct <unk> operations abroad …,1,0
mueller has a distinguished career as both a prosecutor & director of the fbi i was always impressed with his integrity & <unk> …,1,0
failure by <unk> cry about not being <unk> zero on <unk> not standing 4 anthem attack potus 4 defending flag ratings suffering,1,0
crcl1988 congressman garretgraves will discuss gomesa with us 3 p m wednesday on facebook to help people learn more about the legis…,1,0
we have oppounities to combat and cure the debilitating illnesses that plague our loved ones investments in research are critical to reaching such goals …,1,0
icymi in the <unk> hice georgia u s building a business climate i m thrilled to welcome a new corporate citizen – facebook – to ga10 with the construction of its 9th data center a big kudos to governordeal & newtoncounty for their effos …,1,0
today in the wsj trucking companies are struggling to attract drivers i get a lot of guys out of high school they come down for an interview i say come back and talk when you re 21 said mr <unk> i rarely see them again …,1,0
we must work with our allies so that our response to these attacks degrades bashar al-assad s ability to conduct chemical warfare in syria this activity needs to stop,1,0
he is risen repcurbelo would like to wish all celebrating this sacred day a happy easter <unk> <unk>,1,0
i applaud paraguay s decision to move its embassy to israel s capital jerusalem a step that shows its solidarity and suppo for the jewish state all nations should follow suit,1,0
tomorrow april 17 2018 is the deadline to file your 2017 taxes for the last time under the <unk> complex and unfair system here is some valuable information to help you meet the deadline tax day …,1,0
i know firsthand that attending tamu is a life-changing experience & i cherish the educational oppounities i had & friendships made at the university to this day my thanks to a few of the 477 000 former students for stopping by my office today <unk> <unk> hill,1,0
in her 102 years mary smith touched so many lives in branch county and beyond the community came together at <unk> this past weekend to remember a life well lived …,1,0
r5_fire_news looking for applicants with the hea of a wildland firefighter and an online resume apply us…,1,0
no bill is going to be perfect but inaction is just not acceptable,1,0
i have consistently said the sec not the depament of labor is the proper regulatory agency to lead on the fiduciary rule i applaud today s decision by the fifth circuit cou of appeals,1,0
el nombramiento de hoy del nuevo doicós es una <unk>,1,0
i m continuing to work on this it is a high priority to me while i ll push in congress i also believe that the va can do this immediately based upon cou rulings i ve sent a letter asking the sec to do it,1,0
recently wrote potus asking him to put america first & protect our jobs from predatory behavior by our trading paners happy to hear that his admin is following <unk> & has successfully negotiated for uae to stop undercutting the us airline industry …,1,0
tonight is utahjazz vs houstonrockets game 4 — go jazz,1,0
repleezeldin signers of my letter last week calling for a special counsel jordan/f <unk>,1,0
more middle-class families deserve a fairer shot at the american dream,1,0
access to high speed internet service is much more than a quality of life issue it s also an economic issue the 2018 farm bill seeks to strengthen ruralbroadband to help bridge the digital divide between our rural communities and 21st century technology,1,0
today repdebdingell and i hosted our 4th annual veterans fair in <unk> county glad we could help connect so many veterans with resources they have earned,1,0
while it is not perfect i m glad congress reached a bipaisan bicameral budget agreement that moves our country forward i will never apologize for voting to ensure the brave men & women who serve this country have every resource they need …,1,0
submarines remain one of the most effective and sought after tools in our nation s arsenal national submarine day,1,0
trump and melania meet three americans imprisoned in noh korea,1,0
honored to attend the presentation of the congressional gold medal to sen bob dole in recognition of his service and dedication to our country in wwii and in the legislature my dad gerald who was also injured in italy met dole at <unk> jones hospital while they recovered,1,0
fy2017 - social security spending will increase by 3 3% faster than last year b/c beneficiaries received a 0 3 cola in <unk> c o b monday,1,0
today i met with reps from dialysis patient citizens we discussed the challenges of patients on dialysis and how coordinated care can improve health outcomes especially those suffering from end stage <unk> disease <unk>,1,0
housegop 40% of companies plan to increase wages <unk> of companies plan to step up hiring 71% are optimistic about the state of small…,1,0
pepfar on world a i d s day u s reaffirms our commitment to end a i d s this day also serves as a remembrance of millions who have lost th…,1,0
pell grants are vital to students with financial need donnelly students also utilize the trio program assisting first generation and low-income students i suppoed the renewal of both of these programs and the increases in the recent appropriations bill signed into law,1,0
juliabrownley26 i am honored to join repbradwenstrup to introduce bipaisan legislation to strengthen job training programs for home…,1,0
congratulations to the <unk> high school girls basketball team on winning their first state title in thrilling fashion …,1,0
thank you <unk> for your attention to the erosion and shoaling affecting smith island your navigation improvement project will tremendously benefit the marylanders living on the island …,1,0
thanks for backing us up in oc mr president <unk> <unk>,1,0
today we recognize world hemophilia day a rare disease that affects about 20 000 in the us and 400 000 worldwide whd2018,1,0
we re proud of you vashti excited to watch your career grow i had many people telling me that i wouldn t be able to ever get a job here and it would be impossible because i wanted to wear my hair natural i went to an hbcu and i,1,0
happy 21st bihday abigail momma and i are very proud of you <unk>,1,0
current immigration programs won t expire until march yet this shut down immediately impacts national security children s health insurance and more placing a closed for business sign on our federal government,1,0
need help with federalagencies my staff will be in <unk> today <unk> nc13 <unk>,1,0
are you planning a visit to washington d c over spring break my office is available to help arrange tours of the u s capitol and more …,1,0
unclear why some are so scared of a genuine debate of their own ideas sad let s have a debate on repgoodlatte s bill d r e a mact u s aact & a compromise from speakerryan based off potus s pillars …,1,0
kingofthehammer the lineup at the <unk> <unk> <unk> race <unk>,1,0
arlingtonnatl the mother s tree was dedicated may 8 1932 and its plaque is the oldest memorial tree marker remaining in the <unk>,1,0
<unk> repsmucker asks if we need incremental changes or an overhaul of the budget process rivlin says you can build on <unk>,1,0
while not all of them will qualify for benefits all of these people deserve an answer in a timely fashion,1,0
thank you to biaamerica for this award it s been an honor to co-chair the congressional brain injury task force and to suppo victims on their road to recovery change your mind brain injury awareness day …,1,0
i presented a ceificate to michael <unk> <unk> of <unk> in algonquin,1,0
pulling for my sweet courageous friend <unk> tonight at the <unk> your fight against cancer and your constant faith in god inspires all of us everyday we hope you win,1,0
while i suppo a full debate on immigration policy let s not forget that democrats have repeatedly rejected republican offers to address this issue in a balanced way that includes border security …,1,0
what a shot go blue keep dancing sweet16,1,0
speakerryan has served his country & this institution honorably i m proud to have served alongside him in congress to have his leadership & to call him my friend wishing paul jana & their kids all the best in his next steps,1,0
perhaps if we got iranian dissidents doctors to hold a press briefing,1,0
in my op-ed in thehill today i discuss my resolution calling on the egyptian gov to take fuher steps to end the culture of attacks against coptic christians and urges their gov to take steps so they can achieve rightful equality in egyptian society,1,0
great news my bipaisan bill to help severely disabled vets by expanding access to adult day health care just passed the house of reps unanimously & now heads to potus desk for his signature w/ which it will become law …,1,0
🤔 given the actions already taken surely the facts have already been well established,1,0
the old army saying the beatings will continue until morale improves seems like a flawed political strategy i will vote no,1,0
happy bihday marines usmc242,1,0
hurdonthehill voting is one of our fundamental democratic rights and is the cornerstone of american democracy,1,0
the committee s hearing this morning is live now at,1,0
3- i have been asked many times if i would be interested in a larger role on the committee someday my response has always been and remains that it is something i will seriously consider,1,0
<unk> congratulations on your new position with cepa,1,0
es <unk> que oega <unk> <unk> sus <unk> <unk> los <unk> el pueblo de nicaragua merece <unk> <unk> sin <unk> a la <unk> y censura …,1,0
hr 2936 utilizes tools of forest service to reduce <unk> disease infestation dangerous old forest <unk> that creates <unk>,1,0
losing one person a day to the opiod crisis is one too many losing 174 people a day during 2016 to this devastating crisis is nothing sho of unacceptable and heabreaking sotu,1,0
we condemn white natl <unk> should be usa supremacy not <unk> but red white & blue prayers for victims time to heal u s a,1,0
enjoyed seeing all of the a from the first district s talented high school students congrats to jose <unk> for being named best in show in the 2018 congressional a competition i m looking forward to seeing your awork on display in the capitol,1,0
so encouraging meeting young conservatives committed to standing for limited government values great to meet these men from <unk> at cpac on friday keep up the fight,1,0
as many of you know diamondandsilk live in <unk> county – that s one reason why i asked ceo mark zuckerberg what standards facebook applies to censor content and to determine what s offensive versus what s just speech they may disagree with,1,0
<unk> the hill navy vet lawmakers want to create military <unk> corps republican reps ryan zinke <unk> a r,1,0
<unk> and another weak nonsensical <unk> policy goes to the trash where it belongs thank you realdonaldtrump <unk> <unk>,1,0
i ve long been advocating for a blockbuy today we take that first step towards making that a reality 355 ships senatorwicker …,1,0
dozens of republicans are <unk> for a dreamers fix by year s end via washingtonpost d a c a fix daca,1,0
congrats to <unk> on <unk> your ticket to the big dance excited to see you guys play in the ncaa tournament continue the rise …,1,0
attending tonight s du bois area chamber <unk> at dubois harley davidson to receive the <unk> motorcycle rights foundation champion legislative award,1,0
so happy for <unk> and <unk> on the huge win <unk> <unk> <unk>,1,0
prior to last night s airstrikes in syria yesterday i joined 87 of my colleagues in requesting that the president seek authorization from congress before ordering use of military force in syria here s letter & link to my statement …,1,0
my staff and i had the chance to stop by somerset elementary school to drop off books for the kids from the library of congress they were so excited to find a new favorite story everyone was in snow pants but maybe the books will keep them in the warm,1,0
staing now,1,0
it s not the 70 s anymore but chairman bishop is still taking everyone to school happy throwback thursday & teacher appreciation week to all our wonderful educators,1,0
we re a little over 7 hrs into the fy19ndaa mark-up still much more to go you can watch live here …,1,0
great to meet with chief <unk> of the tomball fire depament earlier today our fire fighters work hard to keep our community safe and deserve to be thanked every day for it,1,0
last month ms-13 members were arrested in <unk> icegov found most ms-13 members are <unk> nationals,1,0
happy thanksgiving from my family to yours here in america we enjoy an abundance of blessings every day that are the direct result of the sacrifices of those that have gone before us we have so much to be thankful for,1,0
glad to celebrate recess coffee & <unk> s success today <unk> was one of several local cny small businesses that recently completed the sbagov emerging leaders program which helps connect local entrepreneurs with the suppo they need to thrive in our community,1,0
<unk> 🤦🏻‍♂️ i didn t vote for the republican version of the aca,1,0
now i m on wccoradio talking about my stress act tune in,1,0
happy 106th bihday girlscouts cheers to inspiring millions of girls to lead and make the world a better place,1,0
tune in i m on cspanwj now,1,0
i don t know when the next speaker election is but can we all agree right now that if a member got <unk> into following leadership off this cliff voting for omnibus betrayal then that member is wholly unqualified to lead us past next cliff 145 <unk> d …,1,0
<unk> sounds like the action is too low makes it easier to play but you run into these issues might be time for a new <unk> nut,1,0
really enjoyed getting a <unk> look at some of the newest coolest & most innovative technologies <unk>,1,0
energylawprof nepa was once called the magna caa of environmental law congress must help it regain that legacy so that it does not become a bill of pains and penalties for u s investment in the 21st century,1,0
thanks mark i m excited about this new role and look forward to working with my fellow co-chairs joaquincastrotx repkclark and tomcoleok04 to provide <unk> education oppounities to children across america …,1,0
we cannot continue to wait for the house to act to help d r e a mers i joined my gop colleagues in signing a discharge petition in order to help find a permanent legislative solution …,1,0
the house has made great strides in combating sex trafficking by passing fosta my amendment but there is still work to be done to end this global slave trade today i proudly joined my colleagues in urging suppo for robust funding for anti-trafficking grant programs,1,0
greta jones was a wonderful lady who cared deeply about making louisiana a better place we will miss her,1,0
this month we celebrate black history month and recognize the tremendous contributions our african-american community has made to strengthen our nation,1,0
say it w me former cia director h a m a s kids as human shields 500 payments if successfully shot guns to ppl s head to do bad things pledges to wipe israel off map bad stuff my man & the cause of border <unk> …,1,0
tragic news out of florida international university praying for this community and all affected by the deadly collapse of a pedestrian bridge connecting the campus with the city of <unk>,1,0
hurdonthehill we have four expes on that matter whom i look forward to hearing from,1,0
the following guilford county schools will be closed tomorrow hampton elementary <unk> middle irving park elementary dudley high <unk> summit elementary gateway education center browns summit middle <unk> elementary peeler open elementary 4 more,1,0
proud to lead this effo in congress to end cruel and wasteful testing on dogs and puppies big thanks to whitecoatwaste for your advocacy on behalf of animals …,1,0
<unk> <unk> win down to their final out and final strikes down 4-0 on the board the <unk> score six in the <unk>,1,0
in the virginia general assembly and congress to improve the national instant background check system nics and programs to address mental health issues sexual violence and best practices for campus and student safety,1,0
happy bihday girlscouts for the past 106 years you have inspired millions of girls to lead and create the change they want to see in the world thank you g i r lagenda,1,0
as tax day approaches it s impoant to watch out for fraud targeting taxpayers here are some resources to help you recognize the telltale signs of a <unk> …,1,0
1/2 in light of wednesday s attack continued security concerns extensive and myriad discussions with law enforcement and other officials,1,0
realdonaldtrump on behalf of an entire nation congratulations to the u s women s hockey team on winning the gold go team u s a <unk>,1,0
there is no justification for disparities in the merger review processes and standards today the house will vote on the smaer act a bill to remove these disparities and ensure our nation s antitrust laws are enforced in a manner that is fair consistent & predictable,1,0
sad to see <unk> leave he s a class act who will always be a pa of the green bay community,1,0
national pet day celebrates the joy pets bring into our lives just like my dog cooper,1,0
i ll be offering a free guide to grants seminar this wed aug 16 9-12 at <unk> to rsvp & learn more,1,0
fact personal information can simply be redacted or <unk> out,1,0
too many people still wrongfully see hea disease as a man s disease <unk> key warning signs & grave risks for women hea month,1,0
happy teacher appreciation day let s all take a moment to reach out to the men and women who are inspiring the minds of the future our educators love motivate and encourage daily thank you,1,0
icymi - the <unk> republicans gop senators <unk> at even modest fixes in federal flood insurance via wsjopinion,1,0
on the floor debating hr 1994 a bill that brings real changes to the way the va operates my amendment will come up for debate soon,1,0
great town hall in <unk> yesterday thanks to all that joined it s impoant to me to hear from you,1,0
he said there s no question there is a risk of that,1,0
in the state of alabama i have known brock a long time in alabama and actually had breakfast with him and my colleagues before the homeland security full committee hearing last week my opening remarks directed at brock long were mr long it is refreshing to have a witness,1,0
second we must keep bringing people to the table by explaining these issues in ways that make sense to them for some it s economics – the longer we wait the <unk> it becomes for others it s national security and the effects of climatechange on military readiness 2/3,1,0
staed my day with kraft heinz and rise2030 packing meals that will feed hungry people around the world today we packaged 15 000 meals and are a step closer to ending hunger,1,0
<unk> holy cow someone complaining i don t tweet enough,1,0
impoant reminder that these are the people we are dealing with in iran why would we expect them to hold up their end of the so-called nuclear deal …,1,0
i introduced a bipaisan resolution w/ repanthonybrown to celebrate the 100th anniversary of latvia estonia and lithuania s independence from the russian empire read more about our resolution honoring this impoant milestone,1,0
proud to receive thesfia s congressional health fitness award from the legendary herschelwalker for leadership in promoting active lifestyles in america glad to be an original co-sponsor of the p h i t act to help fulfill this cause … p h i t day18 pass p h i t,1,0
grateful to the national council of state housing agencies for the 2018 champion of affordable housing award and for the oppounity to speak to its annual legislative conference in washington last week cc <unk>,1,0
we re already in a trade war realdonaldtrump is strong enough & sma enough to do something about it he is one of the best negotiators we ve had as president & he knows how negotiate from a position of strength hardworking americans deserve fair trade that puts them first,1,0
<unk> anti-trump lead agent peter strzok acknowledged that the mueller probe would yield nothing if even the guy who <unk> up the anti-trump insurance policy acknowledged this what basis was there to appoint special counsel in the first place …,1,0
i was honored to know and serve in congress with my friend congresswoman louise slaughter a trailblazer who fiercely advocated for what she believed in my thoughts are with her family and loved ones,1,0
from staff happy bihday boss thank you for showing us the qualities of a leader & for your constant encouragement tn03,1,0
the deeply flawed iran deal as negotiated by president obama at most delayed but never eliminated the possibility of iran achieving a nuclear weapon it did not allow for the unfettered <unk> independent inspections of all facilities that must be required,1,0
my staffer emily had a surprise today when her family drove from <unk> <unk> to visit the office in dc glad to meet everyone,1,0
craft beer is a big deal in nc10 i m proud to suppo the industry and all the good-paying jobs it has created & continues to create in wnc …,1,0
disappointed to see my dem colleagues on houseagnews playing politics with farm & food policy these <unk> tactics mean less ceainty for farmers & no new investment in job training for snap recipients …,1,0
michigan picked the state christmas tree – a <unk> blue spruce – from the up this year <unk>,1,0
